"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,17047,361,644,1620,1976,2126,2215,2517,2746,2105,699,38,"0 to 105",53,9135,7832,80,16683,364,0,491,13844,2944,168,3778,13173,3,93,16587,3388,305,69,16,1786,1903,4,3693,98,206,662,622,648,531,449,267,200,93,2,"0 to 101","39",1990,180,317,1206,1867,820,1006,485,20,312,11,6,70,3778,1955,1819,3693,85,0,27651,279,31723,27930,3778,256,8866,1,9123,2.81,4034,22039,26170,"7.2",9.9,23.7,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.7","10.9","26.6","39.3","%","%","%","%",51,35,76,505,323,13.4,8.5,2,3521,70,257,0,288,22,11,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3461,88,104,241,422,433,452,671,551,288,202,9,"0 to 119",54,1953,1408,100,3446,15,0,218,3060,344,16,250,3208,0,3,3443,211,37,2,0,124,124,0,248,7,14,26,57,39,40,36,18,7,6,0,"0 to 97","40",114,103,29,2,32,209,7,8,0,20,0,0,3,250,126,124,248,2,0,5255,13,5523,5268,250,10,168,0,178,5.62,260,3376,3639,"5.3",4.6,7.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","20","10.5","340","357.6","%","%","%","%",0,0,3,8,20,3.2,8,1.2,246,3,4,0,15,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,166863,1819,2710,13059,26719,26561,30305,28480,19286,10954,6312,658,"0 to 225",49,86961,78738,1164,165375,1487,1,4167,149649,17948,1007,30196,136414,100,153,165124,28843,833,511,9,14712,14942,22,29676,293,576,3026,5397,4879,5394,4512,2898,1799,1369,53,"0 to 108","46",15049,4355,1348,8924,15164,5683,8829,6554,49,3887,31,15,946,30196,15208,14950,29675,520,1,252903,966,284309,253869,30196,2471,35716,2,38189,6.47,32667,172130,205052,"7.6",10.1,19.6,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.3","21","85.5","87.4","%","%","%","%",1019,441,961,6603,3918,21.9,13,3.2,28664,935,1532,11,879,169,42,5
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2586,63,117,227,357,357,457,490,286,155,70,7,"0 to 102",49,1074,1373,139,2576,10,0,55,1958,552,12,539,2035,0,12,2564,417,122,0,0,264,274,1,539,21,62,79,108,81,76,62,35,7,8,0,"0 to 92","34",413,51,13,62,345,124,70,85,0,55,0,0,10,539,274,264,539,0,0,3685,10,4239,3695,539,5,111,0,116,4.31,544,2146,2702,"7.4",12.5,21,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","decreased by","decreased by","increased by","40","18.2","12","18.9","%","%","%","%",1,0,10,85,55,15.8,10.2,1.9,521,10,18,0,58,3,2,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,810,21,27,65,89,133,107,138,121,68,40,1,"0 to 118",52,477,315,18,810,0,0,11,695,79,1,63,747,0,0,810,47,16,0,0,29,34,0,63,0,3,12,3,11,11,11,4,5,3,0,"6 to 91","48",47,14,1,1,1,60,2,14,0,11,0,0,4,63,34,29,63,0,0,1277,0,1340,1277,63,0,24,0,24,0,63,771,834,"5.1",4.6,7.8,"2020-06-14","2020-06-20","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","100","50","50","33.9","%","%","%","%",0,0,4,14,11,22.2,17.5,6.3,63,4,0,0,8,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,50320,814,1076,4703,8256,7363,7688,8863,6484,3301,1651,121,"-6 to 119",49,27680,21891,749,49698,622,0,811,47209,2515,219,4171,46094,10,45,49643,3797,280,83,11,2078,1993,6,4077,60,116,720,1057,713,537,485,279,129,74,1,"0 to 101","36",1416,1105,502,1054,540,2403,1134,508,21,337,11,3,64,4171,2043,2120,4077,94,0,85152,528,89927,85680,4171,237,3981,4,4222,5.61,4408,50075,54542,"5.9",4.7,8.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","78.7","24.8","340.7","203.8","%","%","%","%",139,32,67,529,348,12.7,8.3,1.6,3724,64,447,0,143,17,7,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,18365,458,479,1580,2412,2131,2470,3359,2850,1645,945,36,"0 to 119",53,11090,7235,40,15519,2846,0,246,17428,1007,81,1559,16803,2,1,15516,1222,64,273,0,737,549,0,1286,24,52,280,241,190,179,189,159,154,91,0,"0 to 105","43",634,396,44,212,57,892,337,146,1,87,1,2,44,1559,655,904,1286,273,0,26969,2573,31111,29542,1559,20,788,0,808,2.48,1579,17591,19173,"6.2",4.9,8.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","84","126","105.2","%","%","%","%",27,30,46,147,88,9.4,5.6,3,1404,43,155,1,60,4,2,0
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,3964,43,38,202,384,464,561,785,781,487,213,6,"0 to 119",58,2324,1586,54,3926,38,0,112,3696,245,42,274,3690,0,0,3926,233,33,8,0,161,104,1,266,1,4,26,38,32,42,60,46,20,5,0,"1 to 94","54",166,43,48,9,37,214,15,42,3,28,2,1,5,274,108,165,266,8,0,7314,30,7621,7344,274,31,835,0,866,3.58,305,4525,4830,"4.5",3.6,7.7,"2020-06-14","2020-06-20","NO","YES","NO","YES","did not change","decreased by","increased by","increased by","","27.8","27.3","25.7","","%","%","%",1,0,6,45,30,16.4,10.9,2.2,261,5,13,0,6,0,0,0
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,470,2,4,24,34,36,49,106,128,71,16,0,"0 to 95",63,262,205,3,466,4,0,8,456,6,7,6,464,0,0,466,4,1,1,0,4,1,0,5,0,0,0,1,1,0,1,2,1,0,0,"38 to 75","65",4,0,0,1,0,4,1,0,0,0,0,0,0,6,1,5,5,1,0,803,3,812,806,6,1,277,0,278,0.36,7,741,748,"6.4",0.6,1.5,"2020-06-14","2020-06-20","YES","YES","YES","YES","did not change","did not change","did not change","did not change","","","","","","","","",0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,2965,51,100,216,493,503,522,468,388,141,81,2,"0 to 119",47,2049,904,12,2947,17,1,41,2680,352,16,352,2609,1,3,2944,339,9,4,0,244,104,0,348,4,14,24,69,76,69,39,32,15,10,0,"0 to 98","43",138,149,17,44,42,246,60,72,0,59,0,0,6,352,104,248,347,4,1,5224,13,5595,5237,352,9,93,0,102,8.82,361,2702,3067,"6.7",6.3,12.2,"2020-06-14","2020-06-20","NO","NO","NO","YES","did not change","did not change","increased by","increased by","","","33.3","7.4","","","%","%",4,4,6,72,59,20.5,16.8,1.7,337,6,15,0,13,1,1,0
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,764,15,16,86,102,108,116,118,98,69,36,0,"0 to 118",50,431,322,11,764,0,0,11,672,100,2,89,675,0,0,764,71,18,0,0,20,69,0,89,2,4,13,17,18,16,15,3,1,0,0,"0 to 79","39",62,10,15,2,25,59,5,4,0,0,0,0,0,89,69,20,89,0,0,2147,0,2239,2147,89,2,53,0,55,3.64,91,728,819,"4.6",4,11.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","100","50","600","16.7","%","%","%","%",0,0,0,4,0,4.5,0,0,88,0,1,0,6,0,0,0
