"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
46,36,71,"LEE","Lee","Lee","Lee County","FL",718679,40651,16872,23745,2,32,39453,15846,731,287,8,8650,7741,186,16577,302,598,2617,3084,2701,2665,2142,1377,803,540,43,"0 to 102","41",6914,1601,831,7231,3765,5247,7565,1979,20,1113,17,8,362,16872,7897,8784,16576,295,1,97846,928,115701,98774,16872,658,9714,1,10373,6.34,126074,17530,33459,51024,"7.1",13.9,43.1,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","20","16.2","30.5","8.6","%","%","%","%",341,176,370,1999,1130,12,7,2.2,16718,359,154,11,1302,95,15,0,"86",1,45
10,37,73,"LEON","Leon","Leon","Leon County","FL",288102,17815,5150,12637,2,26,17469,4977,57,112,4,2652,2370,12,5034,72,213,1753,1003,667,578,497,220,80,48,19,"0 to 105","29",1512,1594,537,1391,354,2631,2049,383,14,145,10,7,26,5150,2432,2706,5033,116,1,55963,225,61455,56188,5150,130,2649,0,2779,4.68,64234,5280,15286,20594,"7.1",8.2,29.6,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","YES","YES","increased by","increased by","decreased by","decreased by","45.5","21.4","5.9","2.8","%","%","%","%",92,8,33,397,155,8,4,0.6,5116,33,34,0,419,24,2,0,"137",0,5
28,38,75,"LEVY","Levy","Levy","Levy County","FL",39961,2469,709,1758,0,2,2462,659,46,1,3,349,354,2,705,16,38,127,111,89,119,92,69,35,10,3,"0 to 99","41",348,123,154,80,186,410,109,66,0,42,0,0,5,709,357,350,705,4,0,5647,1,6367,5648,709,5,218,0,223,2.24,6590,714,1976,2692,"6.7",10.8,28.9,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","NO","YES","NO","decreased by","decreased by","decreased by","decreased by","14.3","43.8","31.5","10.3","%","%","%","%",3,1,5,66,42,10,6,0.7,698,5,11,0,78,3,3,0,"4",0,1
13,39,77,"LIBERTY","Liberty","Liberty","Liberty County","FL",8365,2390,407,1983,0,0,2390,403,4,0,0,88,319,0,407,4,6,64,88,75,83,63,17,6,1,0,"0 to 85","40",266,114,12,15,18,289,100,20,0,8,0,0,7,407,319,88,407,0,0,2703,0,3110,2703,407,3,15,0,18,16.67,3128,410,1998,2408,"28.8",13.1,17.2,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","2","100","16.7","27.8"," cases","%","%","%",0,0,7,20,8,5,2,1.7,407,7,0,0,28,1,0,1,"227",0,5
12,40,79,"MADISON","Madison","Madison","Madison County","FL",18474,1828,732,1094,1,1,1795,482,238,11,1,421,299,0,720,35,59,102,103,111,123,95,62,19,23,0,"0 to 98","40",187,481,32,20,40,626,54,128,1,32,0,1,8,732,303,429,720,12,0,4414,19,5175,4433,732,4,70,0,74,5.41,5249,736,1164,1902,"10.3",14,40.3,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","increased by","did not change","decreased by","decreased by","70","","45.9","17","%","","%","%",12,4,9,129,32,18,5,1.2,710,9,22,0,123,10,1,0,"78",0,0
21,41,81,"MANATEE","Manatee","Manatee","Manatee County","FL",373853,23657,9468,14175,3,11,23308,9288,80,100,0,4870,4350,148,9368,224,599,1520,1669,1516,1388,1162,716,446,216,12,"0 to 101","39",4223,890,1259,2996,2417,3297,3654,574,8,664,7,2,242,9468,4397,4920,9368,100,0,76789,267,86584,77056,9468,378,5832,0,6210,6.09,92794,9846,20007,29867,"8",10.6,41.6,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","4.9","18.9","39","14.8","%","%","%","%",164,106,244,582,671,7,8,2.6,9395,236,73,8,1097,9,5,0,"22",1,54
24,42,83,"MARION","Marion","Marion","Marion County","FL",348371,25151,6798,18112,1,240,24875,6610,174,13,1,4066,2663,55,6784,85,191,846,1340,1338,1103,892,528,303,131,41,"0 to 104","41",3945,1360,535,944,877,4439,1468,847,5,518,0,0,104,6798,2665,4078,6784,14,0,46763,24,53693,46787,6798,114,3037,0,3151,3.62,56844,6912,21149,28302,"8.1",12.2,27.5,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","23.8","14.5","23.8","36.7","%","%","%","%",132,23,104,852,518,13,8,1.5,6668,102,130,2,414,26,5,5,"1941",0,28
19,43,85,"MARTIN","Martin","Martin","Martin County","FL",157581,10202,3863,6289,1,49,10048,3818,20,25,0,1860,1957,21,3838,106,217,615,652,630,589,424,264,212,151,3,"0 to 100","39",1724,233,1042,839,1800,1424,614,588,4,336,3,1,100,3863,1972,1870,3838,25,0,22052,77,26029,22129,3863,162,3411,0,3573,4.53,29602,4025,9700,13775,"8.7",13.6,39.5,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","did not change","decreased by","decreased by","decreased by","","5.3","10.6","19.6","","%","%","%",215,54,101,592,339,16,9,2.6,3852,100,11,1,446,33,4,0,"9",0,16
49,44,87,"MONROE","Monroe","Monroe","Monroe County","FL",76325,5759,1556,4138,0,65,5600,1501,28,22,5,722,798,9,1529,34,57,189,304,280,283,204,129,61,15,0,"0 to 100","42",993,97,67,372,537,586,406,234,5,98,4,0,13,1556,814,733,1529,27,0,12326,67,13962,12393,1556,158,3383,1,3542,4.46,17504,1714,7521,9301,"12.2",9.8,29.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","41.7","47.8","24.2","3.3","%","%","%","%",2,1,13,239,102,16,7,0.8,1548,13,8,0,121,17,0,0,"1",0,0
54,45,89,"NASSAU","Nassau","Nassau","Nassau County","FL",80578,4686,1270,3382,0,34,4477,1161,31,76,2,604,587,1,1192,18,37,257,172,191,199,197,120,55,24,0,"0 to 95","43",796,123,61,212,63,881,248,165,6,75,1,0,11,1270,620,649,1192,78,0,13872,97,15257,13969,1270,42,1074,0,1116,3.76,16373,1312,4456,5802,"7.2",8,28,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","increased by","25","60","20.7","2.5","%","%","%","%",9,1,11,171,76,14,6,0.9,1253,11,17,0,100,9,0,0,"11",0,0
