"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
28,38,75,"LEVY","Levy","Levy","Levy County","FL",39961,2799,972,1827,0,0,2793,906,61,2,3,492,474,1,967,23,63,174,143,124,147,125,102,55,13,3,"0 to 99","41",542,153,178,94,218,623,126,106,0,75,0,0,8,972,477,494,967,5,0,7009,1,7990,7010,972,7,241,0,248,2.82,8238,979,2068,3047,"7.6",11.9,35,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","60","60","31.2","26.6","%","%","%","%",3,1,8,106,75,11,8,0.8,971,8,1,0,116,6,3,0,"10",0,0,"36",966,"6",21,1,20,4.8
13,39,77,"LIBERTY","Liberty","Liberty","Liberty County","FL",8365,2489,483,2006,0,0,2489,463,20,0,0,127,356,0,483,6,12,76,99,86,92,76,22,12,2,0,"0 to 86","40",310,125,27,21,28,343,112,34,0,13,0,0,7,483,356,127,483,0,0,2924,0,3407,2924,483,4,22,0,26,15.38,3433,487,2028,2515,"30.1",14.2,19.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","100","66.7","138.5","206.6","%","%","%","%",0,0,7,34,13,8,3,1.4,481,7,2,0,41,2,0,3,"238",0,0,"6",436,"47",5,2,3,40
12,40,79,"MADISON","Madison","Madison","Madison County","FL",18474,2120,993,1125,1,1,2084,670,308,13,2,543,435,0,978,39,75,123,135,152,164,138,94,38,35,0,"0 to 98","42",297,597,56,28,54,831,93,165,1,52,1,1,17,993,439,554,978,15,0,4868,19,5891,4887,993,4,77,0,81,4.94,5972,997,1202,2201,"11.9",16.7,47,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","increased by","decreased by","33.3","14.3","12.3","29.8","%","%","%","%",49,9,18,166,53,17,6,1.8,989,17,4,1,147,12,1,1,"152",0,1,"171",986,"7",13,4,9,30.8
21,41,81,"MANATEE","Manatee","Manatee","Manatee County","FL",373853,25312,10985,14305,3,19,24938,10784,83,118,0,5690,5050,127,10867,256,728,1799,1884,1745,1596,1344,841,504,276,12,"0 to 101","39",5551,1123,1842,2351,3223,4684,2960,709,9,778,8,2,277,10985,5108,5745,10867,118,0,90587,265,101919,90852,10985,446,6195,0,6641,6.72,108560,11431,20500,31953,"8.5",10.5,45.2,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","YES","YES","increased by","increased by","decreased by","increased by","9.1","7.8","1.7","9.6","%","%","%","%",142,119,279,718,786,7,8,2.5,10972,276,13,3,1315,17,8,0,"30",1,11,"839",10857,"128",280,13,267,4.6
24,42,83,"MARION","Marion","Marion","Marion County","FL",348371,27587,9235,18334,1,17,27530,8947,271,16,1,5478,3684,56,9218,121,336,1130,1656,1667,1473,1218,804,511,271,48,"0 to 106","42",5678,1832,862,846,1314,6507,1397,1402,5,890,0,0,257,9235,3689,5489,9218,17,0,59184,22,68549,59206,9235,151,3313,0,3464,4.36,72013,9386,21647,31051,"8.9",13,34,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","YES","YES","did not change","decreased by","decreased by","decreased by","","22.2","16","1.9","","%","%","%",157,105,257,1407,890,16,10,2.8,9217,253,18,4,663,47,8,5,"2211",0,27,"938",9190,"45",333,18,315,5.4
19,43,85,"MARTIN","Martin","Martin","Martin County","FL",157581,11095,4613,6432,1,49,10936,4560,23,30,0,2252,2309,22,4583,108,256,761,746,710,698,533,328,279,192,2,"0 to 100","40",2100,253,1137,1093,1853,1821,909,652,4,381,3,1,131,4613,2325,2266,4583,30,0,28503,77,33241,28580,4613,183,3565,0,3748,4.88,36989,4796,9997,14843,"9.4",13,43.2,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","100","21.6","0.8","21.2","%","%","%","%",146,80,132,656,384,15,9,2.9,4607,130,6,2,516,33,4,0,"9",0,8,"411",4591,"22",224,6,218,2.7
49,44,87,"MONROE","Monroe","Monroe","Monroe County","FL",76325,6145,1791,4304,0,50,5998,1720,41,25,5,839,919,3,1761,43,71,217,346,309,322,231,149,75,28,0,"0 to 100","42",1304,151,78,228,693,808,260,274,5,114,4,0,20,1791,936,852,1761,30,0,15123,68,16994,15191,1791,178,3547,1,3726,4.78,20720,1969,7851,9871,"12.9",9.5,32,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","YES","YES","decreased by","did not change","decreased by","decreased by","75","","25.7","30.3","%","","%","%",6,1,20,279,118,16,7,1.1,1787,20,4,0,155,19,0,0,"2",0,0,"66",1726,"65",54,4,50,7.4
54,45,89,"NASSAU","Nassau","Nassau","Nassau County","FL",80578,5470,1978,3448,0,44,5191,1778,63,134,3,961,880,0,1841,23,81,337,268,272,329,283,185,127,73,0,"0 to 103","45",1306,168,91,276,80,1407,354,262,8,141,2,1,35,1978,935,1043,1841,137,0,17782,98,19876,17880,1978,54,1167,0,1221,4.42,21097,2032,4615,6691,"8.3",9.6,37.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","did not change","decreased by","decreased by","40","","33.1","22.7","%","","%","%",60,9,36,270,143,14,8,1.8,1960,32,18,4,165,10,1,0,"40",0,7,"180",1688,"290",113,18,95,15.9
4,46,91,"OKALOOSA","Okaloosa","Okaloosa","Okaloosa County","FL",200737,11723,4695,6995,1,32,11520,4446,211,33,5,2529,2084,44,4657,54,161,802,919,736,629,592,390,237,168,7,"0 to 103","40",2545,436,893,783,603,3142,912,455,4,281,2,0,97,4695,2102,2549,4656,38,1,30868,132,35744,31000,4695,111,1981,0,2092,5.31,37836,4806,8976,13815,"6.9",12.7,41,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","52.6","20","0.9","13.5","%","%","%","%",32,43,97,459,283,10,7,2.1,4676,94,19,3,335,10,4,0,"87",0,7,"542",4593,"102",133,19,114,14.3
64,47,93,"OKEECHOBEE","Okeechobee","Okeechobee","Okeechobee County","FL",40572,2961,1357,1601,0,3,2946,1263,90,4,0,643,706,4,1353,38,105,232,205,221,181,201,80,65,28,1,"0 to 94","39",936,150,168,99,584,656,113,207,1,157,3,0,22,1357,707,646,1353,4,0,9059,8,10438,9067,1357,14,212,0,226,6.19,10664,1371,1813,3187,"7.9",12.9,46.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","YES","decreased by","did not change","increased by","increased by","20","","15.9","23.6","%","","%","%",16,7,22,208,160,16,12,1.6,1341,21,16,1,202,9,3,0,"108",0,2,"104",1351,"6",18,16,2,88.9
