"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,3873,1884,1988,1,0,3868,1830,52,2,0,850,1028,4,1882,58,127,308,374,336,277,204,112,56,32,0,"0 to 101","37",1490,218,74,100,1278,519,85,298,0,162,0,0,39,1884,1029,851,1882,2,0,6898,2,8803,6900,1884,27,161,0,188,14.36,8991,1911,2149,4061,"10.1",21.3,49.3,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","NO","NO","did not change","decreased by","increased by","decreased by","","50","15.5","25","","%","%","%",15,19,39,298,162,16,9,2.1,1879,39,5,0,258,14,1,0,"64",0,1,"88",1880,"4"
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,6240,2255,3981,0,4,6208,1914,327,12,2,1234,994,13,2241,29,75,296,346,304,339,314,237,166,118,31,"0 to 101","47",1683,242,288,28,406,1785,50,423,2,296,2,1,60,2255,998,1244,2241,14,0,18097,14,20380,18111,2255,65,1565,0,1630,3.99,22010,2320,5546,7870,"4.3",10.5,37.2,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","31.6","37.3","24.7","7.4","%","%","%","%",67,25,61,425,298,19,14,2.7,2225,61,30,0,145,10,2,0,"22",0,12,"360",2211,"44"
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,5417,1632,3777,0,8,5341,1491,135,6,0,864,760,2,1626,28,66,186,267,216,243,246,170,139,71,0,"0 to 99","47",970,250,215,191,451,911,264,345,2,178,1,0,41,1632,764,866,1626,6,0,15383,62,17088,15445,1632,35,556,0,591,5.92,17679,1667,4333,6008,"5.9",9.4,30.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","69.2","48.4","3.3","12","%","%","%","%",28,5,41,347,179,22,11,2.5,1608,41,24,0,121,10,1,2,"51",0,4,"260",1632,"0"
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,84252,34368,49657,22,205,83544,33642,585,136,5,18156,15805,266,34227,746,1577,5708,7230,5557,5179,3906,2128,1193,664,480,"0 to 119","37",11660,4445,4663,13459,8527,10105,15595,2770,20,1536,14,5,487,34368,15868,18233,34227,141,0,221904,350,257130,222254,34368,1484,21086,0,22570,6.58,279700,35852,70743,106822,"7.7",12.8,42.6,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","9.2","29.5","34.8","6.3","%","%","%","%",741,228,492,2790,1550,9,5,1.4,34238,488,130,4,3211,193,28,0,"57",0,99,"1951",34225,"143"
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,1384,534,846,0,4,1361,454,70,7,3,201,322,1,524,11,19,75,108,104,89,57,45,18,8,0,"0 to 96","39",374,81,37,32,25,425,74,34,0,17,0,0,4,534,326,207,524,10,0,3844,9,4394,3853,534,5,96,0,101,4.95,4495,539,942,1485,"7.6",12,38.9,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","83.3","83.3","40.4","38.4","%","%","%","%",3,2,4,34,17,7,4,0.7,533,4,1,0,46,2,0,1,"177",0,2,"35",523,"11"
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,8397,2661,5684,0,52,8275,2628,18,13,2,1427,1194,25,2646,49,139,411,407,370,376,319,229,198,162,1,"0 to 101","43",1193,316,309,828,534,1093,1019,385,7,218,3,0,67,2661,1204,1432,2646,15,0,25828,56,28557,25884,2661,96,2367,0,2463,3.9,31020,2757,8051,10860,"7.2",8.9,32.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","50","82.1","37.2","23.4","%","%","%","%",80,31,67,392,221,15,9,2.5,2652,67,9,0,271,11,2,0,"4",0,11,"301",2660,"1"
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,4915,2036,2873,0,6,4879,1961,60,14,1,611,1405,5,2021,22,56,189,421,400,363,280,146,91,68,0,"0 to 100","43",866,397,97,661,76,859,1086,154,2,105,0,0,53,2036,1413,618,2021,15,0,10472,18,12539,10490,2036,36,214,0,250,14.4,12789,2072,3087,5165,"10.7",16.2,42.2,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","YES","YES","did not change","decreased by","decreased by","decreased by","","78.6","2.3","10.2","","%","%","%",60,40,53,156,105,8,6,2.6,2030,52,6,1,106,6,0,3,"953",0,15,"309",2007,"29"
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,1082,469,610,1,2,1070,411,52,6,0,115,348,0,463,5,8,46,85,77,87,93,46,14,8,0,"0 to 95","46",184,248,21,10,23,406,34,41,2,26,0,0,5,469,353,116,463,6,0,2657,4,3145,2661,469,3,105,0,108,2.78,3253,472,715,1190,"8.4",14.5,43.6,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","did not change","decreased by","decreased by","decreased by","","75","88.9","79.5","","%","%","%",0,4,5,43,26,10,6,1.1,467,5,2,0,25,1,2,0,"272",0,0,"28",465,"4"
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,1328,1009,316,0,3,1325,987,22,0,0,112,897,0,1009,5,8,79,327,278,144,97,44,18,9,0,"1 to 98","37",412,161,29,407,63,460,486,31,0,11,0,0,2,1009,897,112,1009,0,0,1210,0,2226,1210,1009,2,16,0,18,11.11,2244,1011,332,1346,"15.4",45.1,76.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","NO","did not change","decreased by","increased by","increased by","","33.3","2241.7","222.2","","%","%","%",7,0,2,31,11,4,2,0.2,989,2,20,0,14,1,0,0,"296",0,0,"29",1000,"9"
27,35,69,"LAKE","Lake","Lake","Lake County","FL",335362,20931,5650,15112,0,169,20609,5547,69,34,0,2882,2619,115,5616,100,223,852,994,886,872,756,499,302,138,28,"0 to 103","41",1838,698,1113,1967,860,2314,2442,515,13,322,5,1,86,5650,2639,2895,5616,34,0,63115,124,68976,63239,5650,232,6009,0,6241,3.72,75217,5882,21121,27172,"8.1",7.8,28.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","increased by","12.2","28.6","9.9","13.7","%","%","%","%",162,25,87,528,327,10,6,1.5,5619,84,31,3,476,17,4,0,"148",0,18,"288",5601,"49"
