"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Deaths","EverMon","MonNow","Chart_MedAge","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,16246,341,593,1398,1830,2005,2112,2445,2716,2088,692,26,"0 to 105",54,8755,7419,72,15887,359,0,433,13487,2526,163,3097,13076,3,70,15814,2724,293,64,16,1466,1546,5,3017,84,176,467,489,544,440,386,241,185,85,0,"0 to 101","41",1724,159,268,866,1592,719,706,430,20,289,11,6,64,3097,1593,1499,3017,80,0,24774,279,28159,25053,3097,64,2993,2003,57,256,8866,1,"9123",2.81,3353,21942,25369,"7",9,20.6,"2020-06-07","2020-06-13","NO","YES","NO","NO","increased by","decreased by","increased by","decreased by","5.9","6.3","10.1","9.5","%","%","%","%",35,35,661,506,155,"30.6",70,450,300,14.5,9.7,2.3,2992,3,61,105,3,220,19,10,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3432,88,104,239,411,426,447,670,551,287,200,9,"0 to 119",54,1934,1398,100,3416,16,0,201,3073,304,16,219,3210,0,3,3413,185,31,3,0,104,112,0,216,7,14,24,47,31,35,34,17,6,4,0,"0 to 97","40",95,89,19,13,22,176,18,8,0,17,0,0,3,219,115,104,216,3,0,4958,13,5195,4971,219,3,26,24,46,10,168,0,"178",5.62,229,3378,3610,"5.2",4.3,6.7,"2020-06-07","2020-06-13","NO","NO","NO","YES","did not change","increased by","decreased by","decreased by","","54.5","64","69.4","","%","%","%",0,0,40,8,32,"400",3,8,17,3.7,7.8,1.4,205,2,3,14,0,14,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,161814,1741,2538,12299,25688,25718,29456,27821,18943,10781,6216,613,"0 to 225",49,84469,76178,1167,160372,1441,1,3967,145853,16686,995,25080,136486,101,147,160126,23790,817,464,9,12227,12361,19,24607,221,431,2274,4326,4015,4541,3862,2536,1614,1248,12,"0 to 108","47",13169,3824,1192,6422,13183,5057,6367,6037,48,3684,31,15,874,25080,12612,12445,24606,473,1,228135,967,254390,229102,25080,874,4216,3475,49,2471,35716,2,"38189",6.47,27551,172202,200003,"7.4",9.4,17,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","55","33.4","42.2","22.2","%","%","%","%",1001,441,3349,2365,984,"41.6",889,6085,3715,24.3,14.8,3.5,24376,2,864,704,10,650,134,37,5
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2448,56,97,206,332,337,432,478,280,154,70,6,"0 to 102",49,986,1318,144,2438,10,0,48,1946,461,12,439,1997,0,12,2426,319,120,0,0,202,236,1,439,16,46,64,89,72,55,51,31,7,8,0,"0 to 92","35",351,34,8,46,290,96,53,76,0,52,0,0,10,439,236,202,439,0,0,3304,10,3757,3314,439,10,560,434,62,5,111,0,"116",4.31,444,2108,2564,"7",11.5,18.1,"2020-06-07","2020-06-13","NO","NO","NO","YES","did not change","decreased by","increased by","decreased by","","18.2","23.8","12.3","","%","%","%",1,0,89,87,2,"2.3",10,76,52,17.3,11.8,2.3,431,12,10,8,0,48,3,2,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,806,21,27,65,88,133,106,137,120,68,40,1,"0 to 118",52,476,312,18,806,0,0,11,696,76,1,61,745,0,0,806,45,16,0,0,29,32,0,61,0,3,12,2,11,11,11,3,5,3,0,"6 to 91","48",45,14,1,1,1,58,2,13,0,10,0,0,3,61,32,29,61,0,0,1191,0,1252,1191,61,3,120,65,46,0,24,0,"24",0,61,769,830,"5",4.8,7.6,"2020-06-07","2020-06-13","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","66.7","33.3","71.4","69","%","%","%","%",0,0,1,2,-1,"-50",3,13,10,21.3,16.4,4.9,61,16,3,0,0,8,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,48787,785,1022,4383,7767,7114,7495,8743,6433,3287,1643,114,"-6 to 119",49,26938,21102,747,48177,610,0,685,46305,2127,210,2695,46047,11,34,48132,2403,209,73,10,1370,1241,1,2612,41,70,404,574,460,363,367,234,116,65,1,"0 to 101","40",1021,753,379,459,435,1673,504,443,21,318,11,3,60,2695,1285,1407,2612,83,0,75197,527,78465,75724,2695,60,1660,1543,50,237,3981,4,"4222",5.61,2932,50028,53009,"5.7",3.5,6,"2020-06-07","2020-06-13","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","14.6","10.8","24.4","82.2","%","%","%","%",143,32,660,197,463,"235",63,464,329,17.2,12.2,2.3,2484,1,60,211,0,93,12,7,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,17960,451,462,1456,2332,2091,2432,3333,2814,1619,933,37,"0 to 119",54,10862,7057,41,15144,2816,0,185,17210,831,75,1170,16784,2,4,15138,865,63,242,0,538,390,0,928,20,39,162,164,150,146,167,125,125,72,0,"0 to 105","48",415,331,34,148,45,682,201,112,1,74,1,1,41,1170,485,685,928,242,0,24058,2574,27813,26632,1170,41,492,412,54,20,788,0,"808",2.48,1190,17572,18768,"6",4.2,6.6,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","44.4","100","78.6","65.1","%","%","%","%",36,30,198,85,113,"132.9",42,113,75,9.7,6.4,3.6,1127,2,41,43,0,39,2,1,0
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,3884,42,38,190,368,452,549,772,773,483,211,6,"0 to 119",59,2273,1558,53,3846,38,0,87,3691,202,38,224,3660,0,0,3846,186,30,8,0,128,88,0,216,0,4,17,25,25,35,54,42,18,4,0,"5 to 94","56",128,34,42,12,28,174,14,34,3,24,2,1,5,224,92,132,216,8,0,6770,30,7028,6800,224,5,108,73,56,31,835,0,"866",3.58,255,4495,4750,"4.4",3.2,6.6,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","12.5","5.6","120","452.9","%","%","%","%",0,0,16,10,6,"60",6,37,26,16.5,11.6,2.7,216,3,5,8,0,4,0,0,0
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,464,2,4,24,34,35,49,105,124,71,16,0,"0 to 95",63,259,202,3,460,4,0,8,455,5,3,2,462,0,0,460,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"25 to 60","42",1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,729,3,734,732,2,0,4,3,42,1,277,0,"278",0.36,3,739,742,"6.3",0.3,0.6,"2020-06-07","2020-06-13","YES","NO","YES","YES","did not change","decreased by","did not change","did not change","","100","","","","%","","",0,0,0,0,0,"",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,2928,50,94,211,490,500,512,465,383,140,81,2,"0 to 119",47,2031,884,13,2909,18,1,35,2662,324,16,322,2604,1,1,2908,308,9,5,0,229,88,0,317,3,9,20,66,74,62,37,27,14,10,0,"0 to 98","43",130,133,15,39,39,225,53,64,1,57,0,0,6,322,88,234,316,5,1,5048,13,5389,5061,322,6,402,208,45,9,93,0,"102",8.82,331,2697,3030,"6.6",6,11.3,"2020-06-07","2020-06-13","NO","NO","YES","YES","increased by","increased by","decreased by","increased by","100","1","47.4","10.5","%","case","%","%",10,4,20,11,9,"81.8",6,65,57,20.2,17.7,1.9,319,3,6,3,0,11,1,1,0
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,742,12,12,81,101,106,111,116,98,69,36,0,"0 to 118",50,419,311,12,742,0,0,9,672,94,2,75,667,0,0,742,74,1,0,0,14,61,0,75,1,0,11,16,17,13,13,3,1,0,0,"1 to 79","39",48,10,12,5,14,57,4,3,0,0,0,0,0,75,61,14,75,0,0,2015,0,2091,2015,75,0,119,102,50,2,53,0,"55",3.64,77,720,797,"4.5",3.6,10.4,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","did not change","increased by","100","1","","144.4","%","case","","%",0,0,49,7,42,"600",0,3,0,4,0,0,75,11,0,0,0,2,0,0,0
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,274,2,10,30,53,55,33,31,30,23,6,1,"1 to 90",42,119,153,2,274,0,0,24,188,122,0,121,153,0,0,274,119,2,0,0,26,95,0,121,1,3,15,34,32,17,12,5,1,1,0,"3 to 89","38",96,18,3,4,76,41,4,18,0,13,0,0,1,121,95,26,121,0,0,422,0,543,422,121,1,132,73,61,1,12,0,"13",7.69,122,165,287,"2.1",21.9,44.5,"2020-06-07","2020-06-13","NO","NO","NO","NO","did not change","increased by","decreased by","decreased by","","100","80","81.4","","%","%","%",0,0,10,11,-1,"-9.1",1,18,13,14.9,10.7,0.8,121,23,1,0,0,5,0,0,0
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,613,11,14,36,57,64,102,123,122,65,19,0,"0 to 94",56,361,249,3,557,56,0,17,582,53,12,11,602,0,0,557,9,0,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,"9 to 70","48",7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1207,54,1272,1261,11,0,23,20,42,0,40,0,"40",0,11,642,653,"4.1",0.8,1.8,"2020-06-07","2020-06-13","YES","YES","NO","YES","did not change","did not change","decreased by","decreased by","","","50","54","","","%","%",0,0,2,6,-4,"-66.7",0,2,1,18.2,9.1,0,11,8,0,0,0,0,0,0,0
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,1977,14,23,158,533,409,318,239,168,69,42,4,"0 to 118",41,433,1516,28,1971,6,0,32,1863,289,5,287,1689,0,1,1970,276,8,2,1,39,245,0,284,3,6,28,83,58,53,42,11,3,0,0,"0 to 84","39",129,124,28,3,46,92,146,26,1,8,0,0,2,287,247,40,284,3,0,2163,3,2455,2166,287,2,15,13,50,1,30,0,"31",3.23,288,1719,2008,"14.1",11.6,14.6,"2020-06-07","2020-06-13","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","50","50","66.7","17.8","%","%","%","%",0,0,15,10,5,"50",2,27,8,9.4,2.8,0.7,285,12,2,2,0,17,4,0,0
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1024,26,61,137,183,131,128,143,125,64,26,0,"0 to 94",43,567,440,17,1017,7,0,43,637,306,6,272,752,0,0,1017,252,15,5,0,127,140,0,267,6,23,44,58,43,31,25,26,11,5,0,"0 to 88","35",177,50,27,13,169,84,14,47,3,31,3,1,1,272,143,129,267,5,0,1553,2,1827,1555,272,1,453,354,50,5,38,0,"43",11.63,277,790,1067,"3.9",14.8,27.1,"2020-06-07","2020-06-13","NO","NO","NO","NO","did not change","decreased by","increased by","decreased by","","23.1","23.8","3.2","","%","%","%",4,0,78,46,32,"69.6",2,50,34,18.4,12.5,0.7,244,1,1,28,0,20,2,0,0
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,2479,83,91,313,455,394,355,335,203,137,106,7,"0 to 119",42,1230,1238,11,2477,2,0,161,1737,721,3,747,1731,0,1,2476,710,37,0,0,297,449,1,747,23,27,106,174,150,109,73,40,27,18,0,"0 to 101","37",597,71,20,59,550,155,42,121,0,72,0,0,22,747,449,297,747,0,0,3608,2,4358,3610,747,22,974,544,48,8,98,0,"106",7.55,755,1829,2585,"6.4",16.9,30.5,"2020-06-07","2020-06-13","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","14.3","44.4","40.3","24.4","%","%","%","%",38,17,124,74,50,"67.6",22,121,72,16.2,9.6,2.9,724,7,22,23,0,46,0,0,0
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,3815,65,60,288,491,453,559,694,560,404,237,4,"0 to 102",54,2313,1481,21,3795,20,0,77,3557,191,43,171,3644,0,0,3795,113,52,5,1,80,85,0,165,1,7,16,34,23,27,30,20,10,3,0,"1 to 90","46",121,20,7,17,32,112,21,49,2,29,2,1,5,171,87,84,165,6,0,8070,14,8256,8084,171,5,292,241,49,19,750,0,"769",2.47,190,4394,4584,"2.5",2.1,5,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","37.5","21.1","62.5","82.6","%","%","%","%",1,0,30,14,16,"114.3",6,51,31,29.8,18.1,3.5,158,1,5,13,0,4,0,0,0
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,3782,56,58,178,387,340,440,604,717,624,358,20,"0 to 119",62,2296,1449,37,3717,65,0,58,3538,202,23,215,3562,0,5,3712,180,33,2,0,111,102,0,213,4,9,19,28,30,33,43,26,19,4,0,"0 to 91","51",137,40,28,8,86,113,14,54,1,47,1,0,9,215,104,111,213,2,0,6200,63,6481,6263,215,9,267,152,56,17,275,0,"292",5.82,232,3837,4074,"4",3.4,6.1,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","increased by","increased by","increased by","46.2","23.8","133.3","199.8","%","%","%","%",0,0,44,28,16,"57.1",9,55,48,25.6,22.3,4.2,206,2,9,9,0,7,1,0,0
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,54882,1259,1511,4723,8367,7952,8491,9265,7393,3976,1824,121,"0 to 119",49,31438,23187,257,54468,414,0,756,52152,2491,312,5319,49469,23,71,54375,5123,129,64,3,2810,2436,6,5252,98,183,835,1220,830,730,593,395,249,171,15,"0 to 104","38",1774,988,852,1638,1198,2126,1928,830,11,572,8,3,114,5319,2465,2848,5252,67,0,90218,346,95958,90564,5319,114,1675,1327,45,309,10151,1,"10461",2.95,5628,59620,65343,"4.7",5.3,10.3,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","16.8","2.7","62.8","59.2","%","%","%","%",372,74,1746,783,963,"123",117,841,580,15.8,10.9,2.2,4982,1,109,337,5,233,22,6,0
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,795,12,13,58,95,96,133,151,152,63,21,1,"0 to 119",54,442,338,15,785,10,0,5,742,56,5,47,748,0,0,785,31,15,0,1,18,28,0,46,1,0,2,10,12,12,4,5,1,0,0,"1 to 79","43",36,4,1,5,2,38,6,7,0,4,0,0,0,47,28,19,46,1,0,1111,9,1168,1120,47,0,59,53,44,1,40,0,"41",2.44,48,788,836,"4.3",4,6,"2020-06-07","2020-06-13","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","1","100","90","91.7","case","%","%","%",0,0,13,3,10,"333.3",0,7,4,14.9,8.5,0,45,3,0,2,0,1,0,0,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,5543,62,77,353,503,503,663,900,1088,794,587,13,"0 to 119",61,3393,2127,23,5471,72,0,190,4877,555,62,369,5145,0,29,5445,344,14,9,2,195,163,0,358,5,19,56,56,50,44,32,46,39,22,0,"0 to 99","44",186,21,35,116,73,150,135,89,6,46,3,0,14,369,170,199,358,11,0,9715,58,10143,9773,369,14,894,416,64,40,1322,0,"1362",2.94,409,6467,6905,"4.6",3.6,7.4,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","66.7","42.9","15.2","43.1","%","%","%","%",31,6,154,36,118,"327.8",14,95,49,25.7,13.3,3.8,317,1,13,52,1,23,0,1,0
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,3032,25,34,244,515,523,528,478,308,231,140,6,"0 to 105",48,1363,1575,94,3009,23,0,18,2618,311,26,330,2698,1,3,3005,283,38,8,1,73,248,0,321,2,7,30,77,79,62,52,14,6,1,0,"0 to 87","40",133,134,19,35,29,186,106,40,2,25,0,0,2,330,252,78,321,9,0,4313,14,4665,4327,330,2,410,210,36,18,91,0,"109",16.51,348,2789,3141,"6.5",7.3,11.5,"2020-06-07","2020-06-13","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","50","62.5","73.6","42.1","%","%","%","%",29,0,14,18,-4,"-22.2",2,42,25,12.7,7.6,0.6,329,20,2,1,0,11,3,0,0
