"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","SHAPE_Length","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
10,37,73,"LEON","Leon","Leon","Leon County","FL",288102,13107,190,311,1666,2139,1910,1989,2117,1736,676,342,31,"0 to 119",46,6795,6170,142,12872,234,1,200,12219,676,95,642,12385,3,77,12793,600,10,31,1,321,289,0,610,3,24,245,109,70,69,69,38,11,4,0,"0 to 91","27",210,289,22,89,42,467,101,101,11,45,9,7,8,642,305,337,609,32,1,23345,202,24194,23547,642,2.42861632663576,48,1483,0,1531,3.14,690,13868,14638,"5.1",2.7,5.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","7.1","43.5","312","304.7","%","%","%","%",11,2,15,112,54,17.4,8.4,2.3,614,8,28,0,26,2,0,0
28,38,75,"LEVY","Levy","Levy","Levy County","FL",39961,1752,26,28,167,228,193,232,341,268,189,79,1,"0 to 118",55,1014,721,17,1751,1,0,26,1469,319,4,157,1595,0,0,1751,136,21,0,0,52,105,0,157,1,1,32,39,28,13,22,12,6,3,0,"3 to 99","36",60,9,81,7,86,64,7,15,0,11,0,0,1,157,105,52,157,0,0,2860,1,3020,2861,157,3.28561267663391,3,126,0,129,2.33,160,1721,1881,"4.7",5.1,9.1,"2020-06-14","2020-06-20","NO","NO","NO","NO","did not change","decreased by","decreased by","decreased by","","71.4","7.3","5.9","","%","%","%",2,1,1,15,11,9.6,7,0.6,154,1,3,0,2,1,0,0
13,39,77,"LIBERTY","Liberty","Liberty","Liberty County","FL",8365,2215,3,4,158,690,561,398,267,93,28,5,8,"0 to 92",38,169,2037,9,2215,0,0,1,2000,83,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,55,54,35,5,0,0,0,"20 to 73","41",115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2093,0,2315,2093,220,3.02097391492398,1,10,0,11,9.09,221,2005,2226,"26.6",9.5,10,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","did not change","increased by","increased by","","","100","73.9","","","%","%",0,0,1,5,1,2.3,0.5,0.5,220,1,0,0,0,0,0,1
12,40,79,"MADISON","Madison","Madison","Madison County","FL",18474,1127,50,42,98,128,144,153,168,180,108,49,7,"0 to 99",51,716,404,7,1104,23,0,27,903,297,15,156,969,1,1,1102,95,57,4,0,91,61,0,152,7,7,19,16,25,21,32,13,5,11,0,"0 to 98","46",35,103,11,3,10,123,19,31,0,4,0,1,3,156,62,94,152,4,0,1627,19,1804,1646,156,2.16969163731198,0,50,0,50,0,156,1019,1177,"6.4",8.4,13.8,"2020-06-14","2020-06-20","NO","NO","NO","NO","did not change","decreased by","increased by","increased by","","50","471.4","433.2","","%","%","%",3,3,4,31,4,19.9,2.6,2.6,143,3,13,0,15,2,0,0
21,41,81,"MANATEE","Manatee","Manatee","Manatee County","FL",373853,16390,282,364,1029,1598,1731,2141,3033,3306,2050,752,104,"0 to 119",58,9310,6778,302,16137,253,0,844,14637,1742,46,2202,14183,4,1,16132,2125,60,17,0,1153,1028,4,2185,47,99,283,369,345,317,284,198,164,95,1,"0 to 101","43",1313,249,222,401,737,968,480,181,2,253,3,2,128,2202,1036,1162,2185,17,0,32208,236,34662,32444,2202,3.59179695196309,122,3249,0,3371,3.62,2324,17432,19761,"5.3",6.1,14.2,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","78.9","81.6","170.6","163.8","%","%","%","%",111,82,130,183,256,8.3,11.6,5.9,2132,127,70,1,121,1,2,0
24,42,83,"MARION","Marion","Marion","Marion County","FL",348371,15076,164,217,966,1705,1725,2173,2586,2847,1893,774,26,"0 to 168",57,9237,5787,52,15049,27,0,4325,10147,3375,146,493,14174,0,409,14641,464,24,4,1,276,212,0,488,7,12,69,90,78,76,74,51,28,8,0,"0 to 97","44",347,90,30,21,84,380,24,97,3,61,0,0,10,493,213,280,488,5,0,21137,21,21658,21158,493,3.40272879823586,51,1671,0,1722,2.96,544,15845,16798,"4.8",2.3,3.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","85","100","167.7","242.6","%","%","%","%",7,3,10,100,61,20.3,12.4,2,467,10,26,0,11,0,0,0
19,43,85,"MARTIN","Martin","Martin","Martin County","FL",157581,7741,154,184,587,804,909,1003,1370,1365,954,389,22,"0 to 100",56,3802,3480,459,7646,95,0,387,6455,1309,78,1673,6046,1,21,7625,1645,13,15,0,749,902,7,1658,60,88,266,301,311,280,176,86,62,41,2,"0 to 99","38",593,69,593,403,975,391,292,268,2,156,1,1,23,1673,911,755,1658,15,0,13477,78,15238,13555,1673,2.97866994211851,78,2269,0,2347,3.32,1751,8315,10088,"6.4",10,22.6,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.6","42.1","32.5","14.7","%","%","%","%",41,8,24,270,157,16.1,9.4,1.4,1639,22,34,1,116,10,0,0
49,44,87,"MONROE","Monroe","Monroe","Monroe County","FL",76325,3761,29,62,234,454,507,642,825,604,294,108,2,"0 to 101",54,1971,1779,11,3678,83,0,1291,2044,835,129,188,3515,0,58,3626,153,20,11,4,76,97,0,173,2,7,15,20,26,32,28,28,18,12,0,"3 to 100","52",127,7,2,37,46,84,43,29,3,18,2,0,4,188,106,82,173,15,0,4725,61,4974,4786,188,13.2628040836788,99,2373,1,2473,4,287,5888,6234,"8.2",3.9,7.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","25","40","88.2","59.9","%","%","%","%",0,1,4,32,20,17,10.6,2.1,174,4,14,0,7,1,0,0
54,45,89,"NASSAU","Nassau","Nassau","Nassau County","FL",80578,3306,46,53,241,336,386,451,629,606,383,171,4,"0 to 103",57,1784,1328,194,3197,109,0,54,3145,102,36,136,3164,0,6,3191,106,22,6,2,65,63,0,128,2,1,23,23,29,14,15,19,7,3,0,"1 to 89","43",84,17,2,25,1,101,26,32,1,17,0,0,1,136,66,70,128,8,0,6012,101,6252,6113,136,3.75942130773243,15,559,0,574,2.61,151,3723,3880,"4.8",2.2,4.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","100","16.7","144.4","172.8","%","%","%","%",5,1,1,33,17,24.3,12.5,0.7,128,1,8,0,3,0,0,0
4,46,91,"OKALOOSA","Okaloosa","Okaloosa","Okaloosa County","FL",200737,7138,162,153,569,1048,1020,934,1086,823,732,571,40,"0 to 119",51,4320,2778,40,6994,143,1,167,6471,437,77,500,6637,0,1,6994,381,108,6,5,244,245,0,489,6,21,64,105,85,68,67,43,26,15,0,"0 to 96","40",362,45,46,36,144,308,37,97,2,58,1,0,6,500,253,247,488,11,1,11502,132,12142,11634,500,3.21429590024741,25,956,0,981,2.55,525,7593,8119,"4",4,7.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","27.8","9.5","12","17.6","%","%","%","%",0,4,6,99,59,19.8,11.8,1.2,457,6,43,0,21,0,0,0
