"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","SHAPE_Length","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,16379,346,598,1438,1858,2018,2125,2459,2720,2093,694,30,"0 to 105",54,8814,7489,76,16020,359,0,443,13551,2623,164,3206,13093,3,77,15940,2832,294,64,16,1515,1607,4,3126,88,180,504,513,554,451,399,243,187,87,0,"0 to 101","40",1772,160,277,917,1634,738,754,433,20,291,11,6,64,3206,1654,1548,3126,80,0,25512,279,29006,25791,3206,5.51085434088275,256,8866,1,9123,2.81,3462,21959,25502,"7",9.1,21.1,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.7","10.9","26.6","39.3","%","%","%","%",32,35,70,453,302,14.1,9.4,2.2,3159,64,47,0,237,19,10,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3445,88,104,239,416,427,449,673,551,288,201,9,"0 to 119",54,1944,1401,100,3429,16,0,207,3069,320,16,232,3210,0,3,3426,195,34,3,0,114,115,0,229,7,14,24,51,33,37,37,17,7,5,0,"0 to 97","41",107,92,23,7,28,189,12,8,0,18,0,0,3,232,118,114,229,3,0,5036,13,5286,5049,232,2.63367862103558,10,168,0,178,5.62,242,3378,3623,"5.2",4.4,7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","20","10.5","340","357.6","%","%","%","%",0,0,3,8,18,3.4,7.8,1.3,227,3,5,0,14,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,162933,1755,2564,12485,25906,25896,29644,27988,19027,10823,6235,610,"0 to 225",49,85041,76731,1161,161488,1444,1,3965,146887,16733,995,26239,136448,100,146,161244,24937,826,467,9,12820,12925,18,25763,234,452,2463,4554,4201,4743,4020,2632,1656,1275,9,"0 to 108","47",13498,3915,1210,7140,13505,5145,7113,6089,48,3700,31,15,884,26239,13179,13038,25762,476,1,235475,967,262908,236442,26239,5.08399988470576,2471,35716,2,38189,6.47,28710,172164,201122,"7.4",9.5,17.6,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.3","21","85.5","87.4","%","%","%","%",1003,441,899,6137,3731,23.4,14.2,3.4,25790,884,449,0,695,139,37,5
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2479,58,104,210,335,340,438,483,281,154,70,6,"0 to 102",49,1007,1330,142,2469,10,0,47,1960,471,12,468,2000,0,11,2458,346,122,0,0,222,245,1,468,18,52,69,92,75,60,55,32,7,8,0,"0 to 92","35",359,40,10,59,297,105,66,77,0,52,0,0,10,468,245,222,468,0,0,3408,10,3890,3418,468,1.62412905104683,5,111,0,116,4.31,473,2111,2595,"7.1",11.8,19.1,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","decreased by","decreased by","increased by","40","18.2","12","18.9","%","%","%","%",1,0,10,77,52,16.5,11.1,2.1,450,10,18,0,50,3,2,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,806,21,27,65,88,133,106,137,120,68,40,1,"0 to 118",52,476,312,18,806,0,0,11,696,76,1,61,745,0,0,806,45,16,0,0,29,32,0,61,0,3,12,2,11,11,11,3,5,3,0,"6 to 91","48",45,14,1,1,1,58,2,13,0,10,0,0,3,61,32,29,61,0,0,1207,0,1268,1207,61,2.28600352325086,0,24,0,24,0,61,769,830,"5",4.7,7.6,"2020-06-14","2020-06-20","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","100","50","50","33.9","%","%","%","%",0,0,3,13,10,21.3,16.4,4.9,61,3,0,0,8,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,49188,798,1035,4461,7892,7181,7545,8776,6445,3292,1647,115,"-6 to 119",49,27127,21314,747,48574,614,0,698,46584,2222,213,3085,46053,11,39,48524,2737,261,76,11,1548,1450,0,2998,51,82,482,698,524,411,404,245,119,68,1,"0 to 101","38",1132,825,414,627,459,1853,686,451,21,318,11,3,60,3085,1497,1586,2998,87,0,78654,527,82315,79181,3085,3.27411455760684,237,3981,4,4222,5.61,3322,50034,53410,"5.8",3.8,6.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","78.7","24.8","340.7","203.8","%","%","%","%",159,32,63,472,329,15.3,10.7,2,2902,60,183,0,110,13,7,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,17991,453,464,1464,2335,2093,2439,3335,2817,1621,933,37,"0 to 119",54,10883,7067,41,15166,2825,0,195,17220,851,75,1202,16783,2,4,15160,887,64,251,0,552,399,0,951,21,41,170,167,152,152,169,127,128,75,0,"0 to 105","48",434,335,35,147,47,704,200,115,1,75,1,1,41,1202,498,704,951,251,0,24790,2574,28579,27364,1202,4.36918308615684,20,788,0,808,2.48,1222,17571,18799,"6",4.2,6.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","84","126","105.2","%","%","%","%",29,30,42,116,76,9.7,6.3,3.5,1198,41,4,0,42,2,1,0
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,3902,42,38,191,372,456,550,775,777,484,211,6,"0 to 119",58,2286,1563,53,3863,39,0,90,3695,211,38,237,3665,0,0,3863,197,31,9,0,137,91,0,228,0,4,18,29,28,36,56,44,18,4,0,"5 to 94","55",134,36,45,13,29,183,16,35,3,25,2,1,5,237,95,142,228,9,0,6966,30,7238,6996,237,2.09459077711604,31,835,0,866,3.58,268,4500,4768,"4.5",3.3,6.9,"2020-06-14","2020-06-20","NO","YES","NO","YES","did not change","decreased by","increased by","increased by","","27.8","27.3","25.7","","%","%","%",1,0,6,38,27,16,11.4,2.5,226,5,11,0,5,0,0,0
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,465,2,4,24,34,35,49,105,125,71,16,0,"0 to 95",63,260,202,3,461,4,0,8,455,6,4,4,461,0,0,461,2,1,1,0,3,0,0,3,0,0,0,1,0,0,1,1,1,0,0,"25 to 75","62",3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,3,1,0,733,3,740,736,4,4.43935170547995,1,277,0,278,0.36,5,738,743,"6.3",0.5,1.1,"2020-06-14","2020-06-20","YES","YES","YES","YES","did not change","did not change","did not change","did not change","","","","","","","","",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,2931,49,94,211,491,500,515,465,383,140,81,2,"0 to 119",47,2034,885,12,2912,18,1,36,2663,327,16,326,2603,1,1,2911,312,9,5,0,231,90,0,321,3,9,20,68,74,64,37,27,14,10,0,"0 to 98","43",130,135,15,41,39,227,55,64,1,57,0,0,6,326,90,236,320,5,1,5083,13,5428,5096,326,2.03339191693402,9,93,0,102,8.82,335,2696,3033,"6.6",6.1,11.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","did not change","did not change","increased by","increased by","","","33.3","7.4","","","%","%",4,4,6,65,57,19.9,17.5,1.8,322,6,4,0,11,1,1,0
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,753,14,16,82,102,106,113,117,98,69,36,0,"0 to 118",50,426,314,13,753,0,0,9,680,94,2,86,667,0,0,753,70,16,0,0,21,64,1,86,3,4,12,17,17,15,14,3,1,0,0,"0 to 79","38",57,10,12,7,24,56,6,3,0,0,0,0,0,86,64,21,86,0,0,2036,0,2123,2036,86,1.42926667229121,2,53,0,55,3.64,88,720,808,"4.6",4,11.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","100","50","600","16.7","%","%","%","%",0,0,0,3,0,3.5,0,0,75,0,11,0,5,0,0,0
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,297,2,10,34,63,62,34,32,30,23,6,1,"1 to 90",40,121,174,2,297,0,0,24,189,141,0,142,155,0,0,297,140,2,0,0,29,113,0,142,1,3,18,44,39,18,12,5,1,1,0,"3 to 89","37",115,18,3,6,95,41,6,18,0,13,0,0,1,142,113,29,142,0,0,434,0,576,434,142,2.27684336624256,1,12,0,13,7.69,143,167,310,"2.3",24.3,48.1,"2020-06-14","2020-06-20","YES","NO","NO","NO","decreased by","decreased by","increased by","increased by","100","75","100","258.3","%","%","%","%",0,0,1,18,13,12.7,9.2,0.7,142,1,0,0,5,0,0,0
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,613,11,14,36,57,64,102,123,122,65,19,0,"0 to 94",56,361,249,3,557,56,0,17,582,53,12,11,602,0,0,557,6,3,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,"9 to 70","48",7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1221,54,1286,1275,11,2.48127035962968,0,40,0,40,0,11,642,653,"4.1",0.8,1.8,"2020-06-14","2020-06-20","YES","YES","YES","YES","did not change","did not change","did not change","decreased by","","","","48.5","","","","%",0,0,0,2,1,18.2,9.1,0,11,0,0,0,0,0,0,0
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,1992,15,24,160,537,414,320,239,168,69,42,4,"0 to 118",41,445,1520,27,1986,6,0,32,1877,294,5,302,1689,0,1,1985,291,8,2,1,50,249,0,299,4,7,30,86,64,55,42,11,3,0,0,"0 to 84","38",133,129,28,9,48,99,152,26,1,8,0,0,2,302,251,51,299,3,0,2211,3,2517,2214,302,2.3015236652275,1,30,0,31,3.23,303,1719,2023,"14.2",11.9,15.2,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","50","","88.9","22.3","%","","%","%",0,0,2,27,8,8.9,2.6,0.7,289,2,13,0,20,4,0,0
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1058,30,64,143,191,137,132,146,125,64,26,0,"0 to 94",42,585,456,17,1051,7,0,47,644,331,6,305,753,0,0,1051,285,15,5,0,145,155,0,300,9,25,49,66,48,38,28,26,11,5,0,"0 to 88","35",193,52,28,27,182,90,28,47,3,31,3,1,1,305,158,147,300,5,0,1608,2,1916,1610,305,1.60075687900909,5,38,0,43,11.63,310,791,1101,"4",15.8,29.3,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","33.3","","88","113","%","","%","%",4,0,2,50,34,16.4,11.1,0.7,289,1,16,0,24,2,0,0
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,2502,86,97,318,458,397,357,336,203,137,106,7,"0 to 119",42,1237,1255,10,2500,2,0,166,1731,747,3,763,1738,0,1,2499,720,43,0,0,301,462,0,763,24,30,110,177,153,110,74,40,27,18,0,"0 to 101","37",620,72,19,52,568,160,35,128,0,76,0,0,22,763,462,301,763,0,0,3675,2,4441,3677,763,2.751957998189,8,98,0,106,7.55,771,1836,2608,"6.5",17,30.8,"2020-06-14","2020-06-20","YES","NO","NO","NO","decreased by","decreased by","increased by","increased by","16.7","8.3","35.7","49.7","%","%","%","%",8,17,22,128,76,16.8,10,2.9,759,22,4,0,48,0,0,0
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,3846,65,61,292,500,458,566,698,561,404,237,4,"0 to 102",54,2329,1496,21,3826,20,0,76,3581,192,43,200,3646,0,0,3826,127,67,5,1,96,98,0,194,1,7,20,43,28,34,33,21,10,3,0,"1 to 90","46",135,22,7,30,34,116,44,49,2,29,2,1,5,200,100,100,194,6,0,8305,14,8520,8319,200,1.97468349274389,19,750,0,769,2.47,219,4396,4615,"2.5",2.4,5.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","9.1","5.9","228.6","483.4","%","%","%","%",2,0,6,51,31,25.5,15.5,3,185,5,15,0,4,0,0,0
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,3809,57,58,181,391,344,446,609,719,625,359,20,"0 to 119",62,2310,1462,37,3744,65,0,59,3556,209,24,238,3566,0,5,3739,198,38,2,0,123,113,0,236,5,9,20,32,34,37,48,28,20,5,0,"0 to 91","51",146,41,30,19,90,119,27,54,1,49,1,0,10,238,115,123,236,2,0,6349,63,6653,6412,238,2.84124660964211,17,275,0,292,5.82,255,3841,4101,"4",3.7,6.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","28.6","33.3","89.3","50.9","%","%","%","%",2,0,10,55,50,23.1,21,4.2,226,10,12,0,7,1,0,0
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,55535,1271,1541,4895,8557,8042,8563,9308,7411,3984,1830,133,"0 to 119",49,31789,23486,260,55120,415,0,760,52712,2558,312,5973,49466,23,73,55025,5720,184,66,3,3158,2737,9,5904,109,211,1006,1413,922,802,637,411,259,178,25,"0 to 104","37",1916,1039,932,2017,1303,2263,2338,835,11,574,8,3,115,5973,2768,3196,5904,69,0,93832,345,100227,94177,5973,3.45236134967177,309,10151,1,10461,2.95,6282,59617,65996,"4.8",5.7,11.3,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","53.4","35.8","130.3","114.5","%","%","%","%",366,74,118,846,582,14.2,9.7,2,5580,114,393,1,268,22,6,0
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,806,12,13,58,97,100,137,152,152,63,21,1,"0 to 119",54,441,350,15,796,10,0,5,753,66,5,58,748,0,0,796,41,16,0,1,17,40,0,57,1,0,2,12,16,16,5,5,1,0,0,"1 to 79","42",42,9,1,5,5,45,7,7,0,4,0,0,0,58,40,18,57,1,0,1185,9,1253,1194,58,1.73644592497981,1,40,0,41,2.44,59,788,847,"4.4",4.6,7.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","100","1","333.3","481.1","%","case","%","%",0,0,0,7,4,12.1,6.9,0,47,0,11,0,1,0,0,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,5607,63,78,364,515,512,677,909,1093,797,586,13,"0 to 119",61,3426,2159,22,5536,71,0,200,4887,613,62,409,5170,0,28,5510,384,14,9,2,212,186,0,398,5,20,66,64,53,54,35,47,42,23,0,"0 to 99","43",211,23,38,126,80,170,148,96,6,48,3,0,15,409,193,216,398,11,0,11022,58,11493,11080,409,2.23772404689823,40,1322,0,1362,2.94,449,6492,6969,"4.6",3.5,8,"2020-06-14","2020-06-20","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","120","16.7","402.7","209.7","%","%","%","%",26,6,15,102,51,24.9,12.5,3.7,389,15,20,0,25,0,1,0
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,3041,25,35,247,518,522,529,479,309,231,140,6,"0 to 105",48,1367,1580,94,3018,23,0,18,2618,318,27,338,2699,1,3,3014,291,38,8,1,76,253,0,329,2,8,32,80,78,63,53,15,6,1,0,"0 to 87","40",139,137,19,34,29,192,108,40,2,25,0,0,2,338,257,81,329,9,0,4367,14,4727,4381,338,2.21646510608254,18,91,0,109,16.51,356,2790,3150,"6.5",7.4,11.7,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","did not change","increased by","decreased by","","","15.4","3","","","%","%",24,0,2,42,25,12.4,7.4,0.6,333,2,5,0,12,3,0,0
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,568,12,13,22,44,76,80,117,121,65,17,1,"0 to 101",58,339,224,5,563,5,0,7,488,78,7,36,532,0,0,563,13,21,2,0,20,14,0,34,1,1,2,3,3,4,7,7,4,4,0,"1 to 95","58",10,17,7,0,5,28,1,7,2,9,0,0,4,36,16,20,34,2,0,971,3,1011,974,36,2.20493093525027,0,51,0,51,0,36,583,619,"4.4",3.4,6.3,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","2","300","659","","case","%","%",0,4,4,9,9,25,25,11.1,36,4,0,0,2,1,2,0
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,351,6,0,43,43,39,35,38,47,55,44,1,"0 to 119",58,225,119,7,351,0,0,12,329,19,1,20,331,0,0,351,15,5,0,0,9,11,0,20,1,0,3,5,1,3,3,2,0,2,0,"3 to 98","40",18,2,0,0,4,15,1,3,0,2,0,0,0,20,11,9,20,0,0,435,0,456,435,20,1.87054630268957,0,13,0,13,0,20,344,364,"4.2",4.3,5.7,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","100","","100","54.5","%","","%","%",0,0,0,3,2,15,10,0,19,0,1,0,0,0,0,0
