"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,640,11,15,43,57,67,110,129,123,65,20,0,"0 to 94",56,373,264,3,582,58,0,22,585,74,14,34,605,0,1,581,27,3,4,0,16,14,0,30,0,1,7,2,5,10,5,3,0,1,0,"9 to 89","46",23,4,2,1,2,27,1,8,1,2,1,0,0,34,17,17,30,4,0,1599,54,1687,1653,34,0,45,0,45,0,1732,34,650,685,"4.3",2,5.3,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","2","2","400","702.4"," cases"," cases","%","%",0,0,0,9,3,27,9,0,34,0,0,0,1,0,0,0
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2068,25,37,172,549,420,332,248,169,70,42,4,"0 to 118",40,490,1552,26,2062,6,0,46,1887,383,6,382,1685,0,1,2061,370,9,2,1,100,279,0,379,14,20,42,100,70,68,52,12,4,0,0,"0 to 84","37",154,187,35,3,66,166,147,44,1,11,0,0,2,382,281,101,379,3,0,2552,3,2939,2555,382,1,33,0,34,2.94,2973,383,1718,2102,"14.7",12.9,18.5,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","decreased by","133.3","125","30.4","17.8","%","%","%","%",0,0,2,45,11,12,3,0.5,380,2,2,0,48,8,0,0
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1329,42,110,185,252,175,160,166,141,71,27,0,"0 to 94",39,730,584,15,1321,8,0,70,661,584,9,504,824,0,1,1320,365,133,5,1,254,244,0,498,17,53,78,115,79,58,42,41,16,5,0,"0 to 86","33",365,64,49,20,349,131,18,73,3,43,3,1,3,504,248,256,498,6,0,2270,2,2778,2272,504,7,44,0,51,13.73,2829,511,868,1380,"5.1",18.1,38.4,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","decreased by","22.2","61.5","32.3","34.6","%","%","%","%",8,1,4,76,46,16,10,0.8,496,3,8,0,86,4,0,0
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,2860,95,125,385,533,470,407,366,217,147,108,7,"0 to 104",41,1414,1438,8,2858,2,0,232,1739,1010,5,1052,1808,0,0,2858,1007,45,0,0,442,610,0,1052,30,47,162,242,207,157,99,53,34,21,0,"0 to 101","37",838,107,35,72,749,245,58,173,0,91,0,0,27,1052,610,442,1052,0,0,4460,2,5519,4462,1052,8,112,0,120,6.67,5639,1060,1920,2980,"7.4",18.8,37.1,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","120","42.1","47.3","12.4","%","%","%","%",5,18,27,173,91,17,9,2.6,1021,27,31,0,107,6,0,0
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,4272,72,71,364,574,513,628,755,601,428,262,4,"0 to 102",53,2547,1703,22,4251,21,0,128,3695,471,51,521,3749,0,2,4249,394,120,6,1,246,267,1,514,8,13,89,104,72,82,77,49,18,9,0,"0 to 92","40",349,42,26,97,71,279,164,91,2,47,2,1,5,521,269,251,514,7,0,10541,14,11078,10555,521,20,886,0,906,2.21,11984,541,4635,5178,"2.8",4.5,12.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","350","73.9","268.2","81.2","%","%","%","%",6,0,6,93,49,18,10,1.2,472,5,49,0,32,0,0,0
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,3988,65,64,210,423,370,474,630,736,637,359,20,"0 to 119",61,2413,1538,37,3922,66,0,83,3603,356,31,397,3585,0,6,3916,347,47,3,0,213,181,0,394,12,13,48,58,55,67,66,40,33,5,0,"0 to 91","47",230,71,58,35,138,217,39,90,2,69,1,0,11,397,184,213,394,3,0,9370,63,9847,9433,397,19,319,0,338,5.62,10185,416,3904,4326,"4.2",4.1,10.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","120","50","84.9","31.1","%","%","%","%",11,0,11,92,70,24,18,2.8,390,11,7,0,30,2,0,0
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,63382,1458,1862,6638,10556,9256,9600,9997,7713,4117,1905,280,"0 to 119",47,35882,27178,322,62945,437,0,1071,58619,3821,327,13700,49542,23,117,62805,13317,290,90,3,7187,6358,62,13607,288,503,2701,3409,2111,1817,1327,718,406,253,167,"0 to 104","34",4144,1799,1585,6079,2716,3936,6955,1127,11,663,8,3,150,13700,6403,7235,13607,93,0,124259,344,138395,124603,13700,342,11939,1,12282,2.78,150677,14042,61481,75664,"5.5",9.3,22.2,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","98.4","28.7","123.2","23.1","%","%","%","%",486,92,153,1138,671,9,5,1.1,13044,148,656,2,1062,63,8,0
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,947,15,13,77,143,132,156,166,158,65,21,1,"0 to 119",51,450,482,15,935,12,0,7,761,199,8,195,752,0,0,935,173,19,1,2,27,165,0,192,2,0,21,57,48,35,17,12,3,0,0,"1 to 83","38",112,66,9,5,16,151,25,7,0,5,0,0,0,195,166,29,192,3,0,2401,9,2609,2410,195,1,43,0,44,2.27,2653,196,795,991,"5.1",7.4,20.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","50","33.3","769.2","4.9","%","%","%","%",1,0,0,7,5,4,3,0,196,0,-1,0,2,0,0,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,6279,76,112,509,623,610,771,981,1124,828,627,18,"0 to 119",59,3808,2437,34,6207,72,0,230,5193,970,70,897,5356,0,26,6183,871,14,10,2,452,425,8,885,13,49,176,153,124,125,78,73,64,41,1,"0 to 99","39",358,57,90,380,178,286,421,115,6,59,3,0,16,897,433,456,885,12,0,14871,58,15829,14929,897,42,1500,0,1542,2.72,17371,939,6856,7821,"5.2",5.4,15,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","81.8","50","41","8.8","%","%","%","%",43,4,16,121,62,14,7,1.8,820,16,77,0,90,4,1,0
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,3162,33,45,276,539,537,545,486,318,235,142,6,"0 to 105",47,1436,1636,90,3139,23,0,18,2636,389,33,401,2759,1,1,3137,353,39,8,1,110,282,0,392,6,10,46,89,87,74,56,23,8,2,0,"0 to 93","40",183,145,21,43,31,244,117,52,2,32,0,0,2,401,286,115,392,9,0,5157,14,5582,5171,401,18,96,0,114,15.79,5696,419,2855,3276,"6.8",7.4,13.3,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","200","42.9","73.3","25.9","%","%","%","%",2,0,2,54,32,14,8,0.5,394,2,7,0,25,4,0,0
